,Car_Name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
1057,Maruti Wagon R LXI Minor Duo LPG,"87,100 kms",Lpg,Manual,2nd Owner,2009,1399 cc,5 Seats,1.07 Lakh
1058,Hyundai i20 Sportz 1.4 CRDi,"1,24,012 kms",Diesel,Manual,2nd Owner,2013,1299 cc,5 Seats,3.19 Lakh
1059,Ford Figo Diesel ZXI,"92,251 kms",Diesel,Manual,2nd Owner,2010,1498 cc,7 Seats,1.34 Lakh
1060,Ford Ikon 1.3 Flair,"61,127 kms",Petrol,Manual,2nd Owner,2008,1197 cc,5 Seats,"80,902"
1061,Honda Mobilio V i-DTEC,"1,41,083 kms",Diesel,Manual,1st Owner,2014,1248 cc,5 Seats,3.99 Lakh
1062,Maruti Swift LXI BSIV,"61,802 kms",Petrol,Manual,2nd Owner,2014,1197 cc,5 Seats,3.25 Lakh
1063,Chevrolet Sail Hatchback 1.3 TCDi,"1,47,215 kms",Diesel,Manual,3rd Owner,2015,998 cc,5 Seats,2.31 Lakh
1064,Maruti Ignis 1.2 Delta BSIV,"74,295 kms",Petrol,Manual,1st Owner,2017,1248 cc,5 Seats,4.43 Lakh
1065,Maruti Wagon R VXI BS IV,"66,290 kms",Petrol,Manual,2nd Owner,2017,1197 cc,5 Seats,3.49 Lakh
1066,Maruti Vitara Brezza ZDi Plus Dual Tone,"92,485 kms",Diesel,Manual,1st Owner,2018,1086 cc,5 Seats,8.22 Lakh
1067,Maruti Baleno 1.2 Delta,"57,563 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,5.36 Lakh
1068,Hyundai i10 Magna 1.1L,"30,675 kms",Petrol,Manual,1st Owner,2011,1199 cc,5 Seats,2.25 Lakh
1069,Maruti Swift Dzire VXI,"58,835 kms",Petrol,Manual,1st Owner,2013,1582 cc,5 Seats,3.37 Lakh
1070,Volkswagen Polo Diesel Comfortline 1.2L,"1,22,571 kms",Diesel,Manual,3rd Owner,2013,1399 cc,5 Seats,2.58 Lakh
1071,Hyundai Verna 1.6 SX,"1,16,064 kms",Diesel,Manual,2nd Owner,2013,5461 cc,5 Seats,4.07 Lakh
1072,Ford Classic 1.4 Duratorq Titanium,"1,28,396 kms",Diesel,Manual,1st Owner,2012,3996 cc,4 Seats,1.58 Lakh
1073,Mercedes-Benz G G63 AMG,"47,000 kms",Petrol,Automatic,2nd Owner,2017,1199 cc,5 Seats,1.52 Crore
1074,Porsche Panamera GTS,"10,000 kms",Petrol,Automatic,1st Owner,2019,1950 cc,5 Seats,1.75 Crore
1075,Chevrolet Beat LT,"37,275 kms",Petrol,Manual,1st Owner,2014,1950 cc,5 Seats,2.55 Lakh
1076,Mercedes-Benz E-Class Exclusive E 220 d BSIV,"44,000 kms",Diesel,Automatic,1st Owner,2017,1086 cc,5 Seats,44 Lakh
1077,Mercedes-Benz E-Class Exclusive E 220 d BSIV,"39,000 kms",Diesel,Automatic,1st Owner,2017,1991 cc,5 Seats,43.50 Lakh
1078,Hyundai Santro Xing XG,"97,767 kms",Petrol,Manual,5th Owner,2005,1198 cc,5 Seats,"84,637"
1079,Mercedes-Benz GLC 200,"32,000 kms",Petrol,Automatic,1st Owner,2020,1248 cc,5 Seats,56.50 Lakh
1080,Honda Amaze S i-VTEC,"53,931 kms",Petrol,Manual,1st Owner,2018,1199 cc,5 Seats,5 Lakh
1081,Fiat Avventura MULTIJET Active,"73,818 kms",Diesel,Manual,1st Owner,2014,2498 cc,6 Seats,3.47 Lakh
1082,Honda Jazz 1.2 V AT i VTEC,"27,200 kms",Petrol,Automatic,1st Owner,2017,1462 cc,5 Seats,6.90 Lakh
1083,Mahindra Thar CRDe,"46,365 kms",Diesel,Manual,1st Owner,2017,1461 cc,5 Seats,7.72 Lakh
1084,Maruti Ciaz Alpha BSIV,"82,496 kms",Petrol,Manual,1st Owner,2019,1248 cc,5 Seats,8.72 Lakh
1085,Renault Duster 110PS Diesel RxL AMT,"73,656 kms",Diesel,Automatic,1st Owner,2016,1493 cc,7 Seats,6.51 Lakh
1086,Maruti Ciaz ZDi SHVS,"92,530 kms",Diesel,Manual,1st Owner,2016,1368 cc,5 Seats,5.43 Lakh
1087,Mahindra TUV 300 mHAWK100 T8,"68,364 kms",Diesel,Manual,2nd Owner,2017,1197 cc,5 Seats,6.58 Lakh
1088,Jeep Compass 1.4 Sport,"30,224 kms",Petrol,Manual,1st Owner,2018,1462 cc,5 Seats,12.61 Lakh
1089,Maruti Baleno 1.2 Alpha,"88,658 kms",Petrol,Manual,1st Owner,2017,2498 cc,6 Seats,5.85 Lakh
1090,Maruti Vitara Brezza ZXI,"26,396 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,10.53 Lakh
1091,Mahindra Thar CRDe,"60,020 kms",Diesel,Manual,1st Owner,2017,1462 cc,5 Seats,7.46 Lakh
1092,Maruti Alto K10 2010-2014 VXI,"55,107 kms",Petrol,Manual,1st Owner,2014,796 cc,5 Seats,2.68 Lakh
1093,Maruti Ciaz Alpha AT,"3,925 kms",Petrol,Automatic,1st Owner,2022,1197 cc,5 Seats,12.43 Lakh
1094,Maruti Alto 800 LXI,"21,949 kms",Petrol,Manual,1st Owner,2017,1995 cc,5 Seats,3.23 Lakh
1095,Maruti Swift Dzire VXI,"41,899 kms",Petrol,Manual,1st Owner,2016,2400 cc,5 Seats,5 Lakh
1096,BMW 5 Series 520d Luxury Line,"43,000 kms",Diesel,Automatic,1st Owner,2019,1950 cc,5 Seats,46 Lakh
1097,Volvo XC60 D5 Inscription,"20,000 kms",Diesel,Automatic,1st Owner,2021,1968 cc,5 Seats,61 Lakh
1098,Mercedes-Benz GLC 220d 4MATIC,"24,000 kms",Diesel,Automatic,1st Owner,2020,2987 cc,5 Seats,56.50 Lakh
1099,Audi Q3 35 TDI Quattro Premium Plus,"39,356 kms",Diesel,Automatic,1st Owner,2015,2143 cc,5 Seats,17.50 Lakh
1100,Mercedes-Benz S-Class S 350 CDI,"18,000 kms",Diesel,Automatic,1st Owner,2017,998 cc,5 Seats,71.50 Lakh
1101,Mercedes-Benz C-Class 220 CDI AT,"40,000 kms",Diesel,Automatic,1st Owner,2013,1248 cc,5 Seats,13.75 Lakh
1102,Maruti Alto K10 VXI,"30,555 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats,3.15 Lakh
1103,Maruti Ciaz VDi Plus SHVS,"1,19,878 kms",Diesel,Manual,1st Owner,2015,1248 cc,5 Seats,4.78 Lakh
1104,Hyundai i20 1.2 Magna Opt,"84,557 kms",Petrol,Manual,1st Owner,2011,1997 cc,7 Seats,2.43 Lakh
1105,Maruti Ciaz VDi Option SHVS,"96,528 kms",Diesel,Manual,1st Owner,2017,999 cc,5 Seats,5.36 Lakh
1106,Mahindra XUV500 W10 1.99 mHawk,"44,081 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,11.24 Lakh
1107,Renault Kiger RXT AMT,"6,494 kms",Petrol,Automatic,1st Owner,2021,998 cc,5 Seats,7.75 Lakh
1108,Maruti Swift VDI BSIV,"1,18,631 kms",Diesel,Manual,1st Owner,2014,1198 cc,5 Seats,3.40 Lakh
1109,Maruti Alto K10 VXI,"47,133 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats,3.51 Lakh
1110,Honda Amaze S i-VTEC,"94,025 kms",Petrol,Manual,1st Owner,2017,998 cc,5 Seats,4.56 Lakh
1111,Hyundai i20 Magna 1.2,"68,841 kms",Petrol,Manual,1st Owner,2016,1582 cc,5 Seats,5.02 Lakh
1112,Hyundai Venue SX Plus Turbo DCT BSIV,"31,952 kms",Petrol,Automatic,1st Owner,2019,998 cc,5 Seats,10.46 Lakh
1113,Hyundai Creta 1.6 CRDi SX,"66,518 kms",Diesel,Manual,2nd Owner,2019,1582 cc,5 Seats,11.30 Lakh
1114,Hyundai Venue SX Plus Turbo DCT BSIV,"26,684 kms",Petrol,Automatic,2nd Owner,2019,1199 cc,5 Seats,10.53 Lakh
1115,Hyundai Creta 1.6 CRDi SX,"38,280 kms",Diesel,Manual,1st Owner,2015,1197 cc,5 Seats,7.90 Lakh
1116,Tata Tiago 1.2 Revotron XZ,"96,392 kms",Petrol,Manual,1st Owner,2017,2179 cc,7 Seats,3.77 Lakh
1117,Maruti Swift Dzire 1.2 ZXi BSIV,"92,613 kms",Petrol,Manual,1st Owner,2011,1498 cc,5 Seats,2.86 Lakh
1118,Mahindra Scorpio S7 120,"40,011 kms",Diesel,Manual,1st Owner,2018,1396 cc,5 Seats,11.78 Lakh
1119,Honda City i DTEC VX,"98,772 kms",Diesel,Manual,2nd Owner,2015,1248 cc,5 Seats,5.33 Lakh
1120,Hyundai i20 Asta 1.4 CRDi,"38,931 kms",Diesel,Manual,1st Owner,2013,1396 cc,5 Seats,3.50 Lakh
1121,Maruti Swift LDI BSIV,"82,392 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats,4.27 Lakh
1122,Hyundai i20 1.4 Asta,"96,805 kms",Diesel,Manual,1st Owner,2017,998 cc,5 Seats,5.72 Lakh
1123,Mahindra Scorpio S5 BSIV,"68,307 kms",Diesel,Manual,1st Owner,2018,1197 cc,5 Seats,9.98 Lakh
1124,Maruti Wagon R LXI BS IV,"30,404 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats,3.75 Lakh
1125,Maruti Baleno 1.2 Alpha,"36,438 kms",Petrol,Manual,2nd Owner,2018,2179 cc,7 Seats,6.30 Lakh
1126,Maruti Swift VDI BSIV,"1,15,206 kms",Diesel,Manual,1st Owner,2015,1451 cc,5 Seats,3.76 Lakh
1127,Mahindra XUV500 W6 2WD,"1,04,537 kms",Diesel,Manual,1st Owner,2015,2755 cc,7 Seats,6.23 Lakh
1128,MG Hector Sharp DCT,"29,827 kms",Petrol,Automatic,2nd Owner,2019,1968 cc,5 Seats,16.13 Lakh
1129,Toyota Innova Crysta 2.8 GX AT BSIV,"55,000 kms",Diesel,Automatic,1st Owner,2017,3198 cc,7 Seats,15.75 Lakh
1130,Audi A6 35 TDI,"68,000 kms",Diesel,Automatic,1st Owner,2016,2755 cc,7 Seats,24.50 Lakh
1131,Ford Endeavour 3.2 Titanium AT 4X4,"80,000 kms",Diesel,Automatic,1st Owner,2018,814 cc,5 Seats,28.75 Lakh
1132,Toyota Innova Crysta 2.8 GX AT BSIV,"55,000 kms",Diesel,Automatic,1st Owner,2019,1497 cc,5 Seats,19.45 Lakh
1133,Hyundai EON Era Plus,"67,885 kms",Petrol,Manual,1st Owner,2013,998 cc,5 Seats,2.30 Lakh
1134,Kia Seltos HTX IVT G,"28,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats,16.50 Lakh
1135,Hyundai EON 1.0 Era Plus,"48,421 kms",Petrol,Manual,1st Owner,2013,1582 cc,5 Seats,2.30 Lakh
1136,Maruti Swift Dzire VXI,"49,000 kms",Petrol,Manual,1st Owner,2014,1995 cc,5 Seats,4.25 Lakh
1137,Hyundai Verna 1.6 SX,"75,000 kms",Diesel,Manual,1st Owner,2013,1198 cc,5 Seats,4.50 Lakh
1138,BMW 5 Series 520d Sport Line,"55,000 kms",Diesel,Automatic,2nd Owner,2018,1493 cc,5 Seats,40.50 Lakh
1139,Honda Amaze S Option i-VTEC,"6,357 kms",Petrol,Manual,1st Owner,2017,1199 cc,5 Seats,4.71 Lakh
1140,Hyundai Venue SX Opt Executive Diesel,"24,237 kms",Diesel,Manual,1st Owner,2022,2755 cc,7 Seats,10.24 Lakh
1141,Honda Amaze E Petrol,"10,282 kms",Petrol,Manual,1st Owner,2020,1396 cc,5 Seats,5.89 Lakh
1142,Toyota Innova Crysta 2.8 ZX AT BSIV,"1,11,337 kms",Diesel,Automatic,1st Owner,2018,1582 cc,5 Seats,17.10 Lakh
1143,Hyundai Venue SX Opt Diesel BSIV,"64,104 kms",Diesel,Manual,1st Owner,2019,1968 cc,5 Seats,9.82 Lakh
1144,Hyundai Verna 1.6 CRDi SX,"42,234 kms",Diesel,Manual,2nd Owner,2016,1197 cc,5 Seats,5.60 Lakh
1145,Audi Q5 30 TDI quattro Premium,"80,000 kms",Diesel,Automatic,3rd Owner,2015,1197 cc,5 Seats,14.75 Lakh
1146,Maruti Ignis Sigma,"2,294 kms",Petrol,Manual,1st Owner,2022,1396 cc,5 Seats,5.02 Lakh
1147,Maruti Baleno Delta,"38,736 kms",Petrol,Manual,1st Owner,2020,998 cc,5 Seats,6.31 Lakh
1148,Hyundai i20 Asta 1.4 CRDi,"1,30,432 kms",Diesel,Manual,1st Owner,2014,2694 cc,7 Seats,3.81 Lakh
1149,Hyundai Venue SX Opt iMT,"10,000 kms",Petrol,Manual,1st Owner,2021,2967 cc,5 Seats,11.50 Lakh
1150,Toyota Fortuner 2.7 2WD AT,"44,000 kms",Petrol,Automatic,2nd Owner,2019,1086 cc,5 Seats,31 Lakh
1151,Audi Q5 3.0 TDI Quattro,"68,000 kms",Diesel,Automatic,3rd Owner,2011,2967 cc,5 Seats,9.95 Lakh
1152,Hyundai i10 Magna 1.1L,"38,000 kms",Petrol,Manual,1st Owner,2011,1197 cc,5 Seats,2.25 Lakh
1153,Audi Q5 3.0 TDI Quattro Technology,"35,000 kms",Diesel,Automatic,1st Owner,2015,2179 cc,7 Seats,21 Lakh
1154,Maruti Swift Dzire VXI 1.2 BS IV,"65,000 kms",Petrol,Manual,1st Owner,2019,1582 cc,5 Seats,6.50 Lakh
1155,Mahindra Scorpio S5,"12,001 kms",Diesel,Manual,1st Owner,2022,2967 cc,7 Seats,15.85 Lakh
1156,Hyundai Creta 1.6 SX Automatic Diesel,"36,000 kms",Diesel,Automatic,2nd Owner,2020,1969 cc,5 Seats,14.25 Lakh
1157,Audi Q7 45 TDI Quattro Premium Plus,"43,000 kms",Diesel,Automatic,2nd Owner,2014,1968 cc,5 Seats,18.75 Lakh
1158,Volvo XC60 Inscription D5,"7,500 kms",Diesel,Automatic,1st Owner,2020,1798 cc,5 Seats,60 Lakh
1159,Audi Q3 2.0 TDI Quattro Premium Plus,"56,500 kms",Diesel,Automatic,1st Owner,2014,1582 cc,5 Seats,13 Lakh
1160,Audi A6 35 TFSI Matrix,"30,000 kms",Petrol,Automatic,1st Owner,2018,1950 cc,5 Seats,36.75 Lakh
1161,Hyundai Verna CRDi 1.6 AT SX Plus,"63,500 kms",Diesel,Automatic,1st Owner,2017,1995 cc,5 Seats,10 Lakh
1162,Mercedes-Benz C-Class Progressive C 220d,"26,500 kms",Diesel,Automatic,1st Owner,2019,2179 cc,7 Seats,41 Lakh
1163,BMW X1 xDrive 20d xLine,"38,500 kms",Diesel,Automatic,1st Owner,2018,1498 cc,5 Seats,28.50 Lakh
1164,Mahindra XUV500 R W10 FWD,"65,000 kms",Diesel,Manual,1st Owner,2015,1493 cc,5 Seats,8.90 Lakh
1165,Honda Amaze VX CVT Diesel,"44,500 kms",Diesel,Automatic,1st Owner,2019,2993 cc,5 Seats,9.25 Lakh
1166,Hyundai i20 Sportz Diesel,"15,500 kms",Diesel,Manual,1st Owner,2022,1991 cc,5 Seats,9.75 Lakh
1167,BMW X5 xDrive 30d xLine,"20,500 kms",Diesel,Automatic,1st Owner,2022,1995 cc,5 Seats,1 Crore
1168,Mercedes-Benz E-Class Expression E 200 BSIV,"65,000 kms",Petrol,Automatic,1st Owner,2018,2143 cc,5 Seats,44 Lakh
1169,BMW 3 Series 320d GT Luxury Line,"64,593 kms",Diesel,Automatic,3rd Owner,2014,2755 cc,7 Seats,18.50 Lakh
1170,Mercedes-Benz E-Class E250 CDI Avantgarde,"63,203 kms",Diesel,Automatic,2nd Owner,2015,1995 cc,4 Seats,22 Lakh
1171,Toyota Fortuner 2.8 2WD AT,"60,500 kms",Diesel,Automatic,1st Owner,2017,1248 cc,7 Seats,29 Lakh
1172,BMW 6 Series GT 620d Luxury Line 2019-2021,"50,000 kms",Diesel,Automatic,1st Owner,2020,796 cc,5 Seats,60.50 Lakh
1173,Maruti Ertiga ZDI,"43,000 kms",Diesel,Manual,2nd Owner,2014,2987 cc,7 Seats,6 Lakh
1174,Maruti Alto 800 LXI,"31,458 kms",Petrol,Manual,1st Owner,2021,1582 cc,5 Seats,3.07 Lakh
1175,Mercedes-Benz GLS 350d 4MATIC,"70,000 kms",Diesel,Automatic,2nd Owner,2016,998 cc,5 Seats,52 Lakh
1176,Hyundai Elantra CRDi S,"70,372 kms",Diesel,Manual,1st Owner,2013,624 cc,4 Seats,5.25 Lakh
1177,Maruti Wagon R LXI CNG,"1,29,325 kms",Cng,Manual,1st Owner,2012,1991 cc,5 Seats,1.90 Lakh
1178,Tata Nano Twist XT,"59,290 kms",Petrol,Manual,4th Owner,2015,2993 cc,5 Seats,"85,671"
1179,Mercedes-Benz GLC 200,"15,000 kms",Petrol,Automatic,1st Owner,2021,1968 cc,5 Seats,61 Lakh
1180,BMW X6 xDrive 40d M Sport,"75,000 kms",Diesel,Automatic,2nd Owner,2015,2143 cc,5 Seats,37.90 Lakh
1181,Audi Q5 2.0 TDI Premium Plus,"94,002 kms",Diesel,Automatic,2nd Owner,2014,2494 cc,5 Seats,16 Lakh
1182,Mercedes-Benz C-Class C 220 CDI Avantgarde,"90,004 kms",Diesel,Automatic,3rd Owner,2014,2993 cc,5 Seats,11.90 Lakh
1183,Toyota Camry 2.5 Hybrid,"47,000 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats,23.50 Lakh
1184,BMW X5 xDrive 30d M Sport,"83,005 kms",Diesel,Automatic,2nd Owner,2014,1595 cc,5 Seats,29 Lakh
1185,Ford Ecosport 1.5 Diesel Titanium,"62,500 kms",Diesel,Manual,1st Owner,2015,2143 cc,5 Seats,4.75 Lakh
1186,Mercedes-Benz B Class B180 Sports,"67,000 kms",Petrol,Automatic,2nd Owner,2013,1197 cc,5 Seats,12.90 Lakh
1187,Mercedes-Benz GLE 250d,"64,000 kms",Diesel,Automatic,1st Owner,2016,2967 cc,4 Seats,36.50 Lakh
1188,Maruti Swift ZXI BSIV,"39,889 kms",Petrol,Manual,2nd Owner,2017,1997 cc,5 Seats,4.41 Lakh
1189,Audi A8 L 50 TDI Quattro Premium Plus,"81,250 kms",Diesel,Automatic,1st Owner,2015,1498 cc,5 Seats,42 Lakh
1190,Jaguar F-Pace 2.0 R-Dynamic S Diesel,"9,900 kms",Diesel,Automatic,1st Owner,2021,1498 cc,5 Seats,74 Lakh
1191,Ford Ecosport 1.5 Diesel Titanium Plus,"43,000 kms",Diesel,Manual,1st Owner,2016,1998 cc,5 Seats,5.25 Lakh
1192,MG Astor Sharp CVT,"2,400 kms",Petrol,Automatic,1st Owner,2022,2993 cc,4 Seats,17.25 Lakh
1193,BMW X4 xDrive30i M Sport Silver Shadow Edition,"7,600 kms",Petrol,Automatic,1st Owner,2022,1798 cc,5 Seats,74.50 Lakh
1194,Jaguar XJ 3.0L LWB Ultimate,"79,004 kms",Diesel,Automatic,2nd Owner,2012,2143 cc,5 Seats,22.90 Lakh
1195,Toyota Corolla Altis VL AT,"99,300 kms",Petrol,Automatic,2nd Owner,2015,2987 cc,5 Seats,8.75 Lakh
1196,Mercedes-Benz M-Class ML 250 CDI,"80,000 kms",Diesel,Automatic,2nd Owner,2014,4367 cc,5 Seats,21.90 Lakh
1197,Mercedes-Benz S-Class S 350 CDI,"40,000 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,51 Lakh
1198,Land Rover Range Rover Vogue SE 4.4 SDV8,"87,002 kms",Diesel,Automatic,2nd Owner,2013,1968 cc,5 Seats,35.25 Lakh
1199,Audi Q5 2.0 TDI Premium Plus,"94,002 kms",Diesel,Automatic,2nd Owner,2013,2487 cc,5 Seats,14.25 Lakh
1200,Audi A6 2.0 TDI Premium Plus,"82,005 kms",Diesel,Automatic,2nd Owner,2013,4367 cc,5 Seats,14.25 Lakh
1201,Toyota Camry Hybrid 2.5,"20,000 kms",Petrol,Automatic,1st Owner,2019,1998 cc,5 Seats,40.90 Lakh
1202,Land Rover Range Rover Vogue SE 4.4 SDV8,"95,004 kms",Diesel,Automatic,1st Owner,2013,1498 cc,5 Seats,39.75 Lakh
1203,BMW X1 sDrive20i xLine,"68,753 kms",Petrol,Automatic,2nd Owner,2019,1956 cc,5 Seats,28.10 Lakh
1204,Ford Ecosport 1.5 DV5 MT Titanium,"62,500 kms",Diesel,Manual,1st Owner,2015,1582 cc,5 Seats,4.75 Lakh
1205,Jeep Compass 2.0 Sport Plus BSIV,"62,000 kms",Diesel,Manual,1st Owner,2019,1498 cc,5 Seats,15.75 Lakh
1206,Hyundai Creta 1.6 CRDi AT S Plus,"85,000 kms",Diesel,Automatic,1st Owner,2017,1248 cc,5 Seats,8.95 Lakh
1207,Honda WR-V i-DTEC VX,"58,000 kms",Diesel,Manual,1st Owner,2017,2143 cc,5 Seats,6.99 Lakh
1208,Maruti Baleno 1.3 Zeta,"55,500 kms",Diesel,Manual,1st Owner,2018,1248 cc,5 Seats,6.20 Lakh
1209,Mercedes-Benz GLE 250d,"49,000 kms",Diesel,Automatic,1st Owner,2017,1956 cc,5 Seats,44 Lakh
1210,Maruti Baleno 1.3 Zeta,"54,000 kms",Diesel,Manual,1st Owner,2018,1956 cc,5 Seats,6.25 Lakh
1211,Tata Harrier XM,"32,500 kms",Diesel,Manual,1st Owner,2019,1950 cc,5 Seats,12.50 Lakh
1212,Tata Harrier XM,"33,500 kms",Diesel,Manual,1st Owner,2019,0 cc,5 Seats,12.60 Lakh
1213,Mercedes-Benz E-Class Expression E 220 d BSIV,"17,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats,58 Lakh
1214,MG ZS EV Exclusive,"38,000 kms",Electric,Automatic,1st Owner,2020,1950 cc,5 Seats,21.10 Lakh
1215,Mercedes-Benz C-Class Progressive C 200,"16,500 kms",Petrol,Automatic,1st Owner,2018,1998 cc,5 Seats,36.50 Lakh
1216,Mercedes-Benz E-Class Exclusive E 220d,"2,000 kms",Diesel,Automatic,1st Owner,2022,1950 cc,5 Seats,76.25 Lakh
1217,Mini Cooper D,"29,000 kms",Diesel,Automatic,2nd Owner,2014,1197 cc,5 Seats,18.90 Lakh
1218,Mercedes-Benz C-Class Progressive C 220d,"24,000 kms",Diesel,Automatic,2nd Owner,2020,1995 cc,5 Seats,39 Lakh
1219,Maruti Swift LXI,"37,229 kms",Petrol,Manual,1st Owner,2020,2179 cc,7 Seats,4.83 Lakh
1220,BMW X3 xDrive 20d Luxury Line,"19,000 kms",Diesel,Automatic,1st Owner,2021,1968 cc,5 Seats,60 Lakh
1221,Mahindra XUV500 W6 2WD,"90,928 kms",Diesel,Manual,1st Owner,2013,1373 cc,7 Seats,4.31 Lakh
1222,Audi A3 35 TDI Premium Plus,"39,000 kms",Diesel,Automatic,1st Owner,2020,1950 cc,5 Seats,25.80 Lakh
1223,Maruti Ertiga VXI CNG,"44,000 kms",Cng,Manual,1st Owner,2016,1399 cc,5 Seats,7.25 Lakh
1224,Mercedes-Benz C-Class Progressive C 200,"12,000 kms",Petrol,Automatic,1st Owner,2021,1497 cc,5 Seats,49.90 Lakh
1225,Ford Figo Diesel Titanium,"86,483 kms",Diesel,Manual,3rd Owner,2014,1598 cc,5 Seats,1.93 Lakh
1226,Honda City Edge Edition SV,"20,000 kms",Petrol,Manual,1st Owner,2019,1950 cc,5 Seats,9 Lakh
1227,Renault Duster Petrol RxL,"49,000 kms",Petrol,Manual,2nd Owner,2017,2755 cc,7 Seats,5.75 Lakh
1228,Mercedes-Benz C-Class Progressive C 200,"12,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats,47.90 Lakh
1229,Toyota Innova Crysta 2.8 GX AT BSIV,"26,000 kms",Diesel,Automatic,1st Owner,2018,1248 cc,5 Seats,18.75 Lakh
1230,Toyota Glanza G,"40,252 kms",Petrol,Manual,1st Owner,2020,1997 cc,5 Seats,6.06 Lakh
1231,Maruti Swift VDI BSIV,"97,947 kms",Diesel,Manual,2nd Owner,2014,1582 cc,5 Seats,3.23 Lakh
1232,Land Rover Range Rover Velar R-Dynamic S Petrol MY21,"38,000 kms",Petrol,Automatic,1st Owner,2020,1197 cc,5 Seats,85 Lakh
1233,Hyundai Creta 1.6 CRDi AT SX Plus,"1,50,715 kms",Diesel,Automatic,1st Owner,2015,1968 cc,5 Seats,7.16 Lakh
1234,Hyundai i10 Sportz,"1,02,820 kms",Petrol,Manual,1st Owner,2010,1996 cc,7 Seats,1.58 Lakh
1235,Skoda New Laura Ambiente 2.0 TDI CR AT,"1,09,403 kms",Diesel,Automatic,3rd Owner,2012,1462 cc,7 Seats,2.53 Lakh
1236,MG Gloster Savvy 7-Str,"11,000 kms",Diesel,Automatic,2nd Owner,2021,1197 cc,5 Seats,39.65 Lakh
1237,Maruti Ertiga VXI AT,"37,377 kms",Petrol,Automatic,1st Owner,2019,1461 cc,5 Seats,8.58 Lakh
1238,Maruti Swift Dzire VXI,"84,728 kms",Petrol,Manual,2nd Owner,2015,1969 cc,5 Seats,3.67 Lakh
1239,Renault Duster 85PS Diesel RxE,"53,548 kms",Diesel,Manual,2nd Owner,2013,1968 cc,5 Seats,3.24 Lakh
1240,Volvo S90 D4 Inscription BSIV,"20,000 kms",Diesel,Automatic,1st Owner,2018,1197 cc,5 Seats,44.75 Lakh
1241,Audi A6 2.0 TDI,"29,397 kms",Diesel,Automatic,1st Owner,2014,1997 cc,7 Seats,16.19 Lakh
1242,Hyundai Grand i10 Asta,"30,346 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats,4.06 Lakh
1243,Mahindra XUV500 W10 1.99 mHawk,"42,119 kms",Diesel,Manual,1st Owner,2017,1248 cc,5 Seats,10.63 Lakh
1244,Maruti Swift Dzire VDI,"1,20,450 kms",Diesel,Manual,2nd Owner,2014,1451 cc,5 Seats,3.27 Lakh
1245,Maruti Swift LDI BSIV,"1,48,393 kms",Diesel,Manual,3rd Owner,2014,2993 cc,5 Seats,2.67 Lakh
1246,MG Hector Hybrid Sharp MT,"21,549 kms",Petrol,Manual,1st Owner,2020,1248 cc,5 Seats,13.39 Lakh
1247,BMW X5 xDrive 30d,"85,000 kms",Diesel,Automatic,2nd Owner,2015,1799 cc,5 Seats,29.75 Lakh
1248,Maruti Vitara Brezza VDi Option,"90,468 kms",Diesel,Manual,1st Owner,2016,1497 cc,5 Seats,5.90 Lakh
1249,Honda Civic ZX BSIV,"20,900 kms",Petrol,Automatic,1st Owner,2019,1950 cc,5 Seats,15.56 Lakh
1250,Hyundai Creta SX,"19,234 kms",Petrol,Manual,1st Owner,2021,1497 cc,5 Seats,13.87 Lakh
1251,Mercedes-Benz GLC Coupe 300d 4MATIC,"24,900 kms",Diesel,Automatic,1st Owner,2021,1493 cc,5 Seats,71.50 Lakh
1252,Tata Nexon 1.5 Revotorq XZA Plus DualTone,"73,269 kms",Diesel,Automatic,1st Owner,2018,1353 cc,5 Seats,8.75 Lakh
1253,Kia Seltos HTX Plus D,"48,101 kms",Diesel,Manual,1st Owner,2020,1997 cc,5 Seats,15.25 Lakh
1254,Kia Seltos GTX Plus,"24,001 kms",Petrol,Manual,1st Owner,2020,1999 cc,7 Seats,14.95 Lakh
1255,Jaguar XF 2.0 Petrol Prestige,"7,500 kms",Petrol,Automatic,1st Owner,2020,1956 cc,5 Seats,47 Lakh
1256,Hyundai Alcazar Platinum 7-Seater,"9,701 kms",Petrol,Manual,1st Owner,2022,999 cc,5 Seats,19.49 Lakh
1257,Tata Harrier XZA AT,"27,133 kms",Diesel,Automatic,1st Owner,2021,4461 cc,7 Seats,19.90 Lakh
1258,Renault KWID Climber 1.0 AMT Opt,"18,270 kms",Petrol,Automatic,1st Owner,2022,1373 cc,5 Seats,5.25 Lakh
